DT10000,Văn 7776 foods,TK110000,83818090,6028110000,3.2928803976725693,Võ Văn Nguyệt
DT10001,Văn 7782 foods,TK110001,51737937,6608710001,1.4808767471845705,Bùi Song Tú
DT10002,Thị 2911 foods,TK110002,2860286,1503810002,2.2263305870322414,Bùi Thị Quốc
DT10003,Song 3081 foods,TK110003,83043700,8529210003,4.20707786581262,Vũ Văn Bắc
DT10004,Tùng 7876 foods,TK110004,47233660,3184110004,4.049690527396084,An Chí Ngọc Nhi
DT10005,Gia 8467 foods,TK110005,31742624,2052310005,2.115230292976315,Âu Gia Quốc
DT10006,Hoàng 7846 foods,TK110006,57312573,5928310006,1.308496581047745,Trương Chí Ngọc Nhi
DT10007,Gia 5707 foods,TK110007,45664160,9088210007,2.9450533236112375,Đoàn Văn Ngọc Nhi
DT10008,Thị 7575 foods,TK110008,79353023,5131210008,3.742343577119193,An Văn Tú
DT10009,Gia 2111 foods,TK110009,84547770,4429110009,2.5276610310254233,Trương Song Cúc
DT10010,Song 6349 foods,TK110010,74330934,3123210010,2.3573858075609224,Phạm Hoàng Thông
DT10011,Chí 9049 foods,TK110011,74407796,3701110011,3.647199716062706,Giản Văn Mây
DT10012,Hoàng 8732 foods,TK110012,98291596,4434810012,4.950021335054881,Ưng Song Bảo
DT10013,Văn 730 foods,TK110013,94308260,9909310013,4.5188443386473445,Âu Song Chung
DT10014,Văn 1072 foods,TK110014,78881219,1364610014,2.7818066335834715,Âu Chí Sáng
DT10015,Chí 1322 foods,TK110015,13913528,8823110015,1.5950247489796654,Lê Song Sáng
DT10016,Chí 4718 foods,TK110016,6810551,5766010016,2.2925506012442964,Lý Tùng Minh
DT10017,Tùng 7784 foods,TK110017,41889641,3955710017,4.617664437279828,Phạm Song Thông
DT10018,Song 2831 foods,TK110018,49255351,6423010018,3.5872012108617177,Bùi Gia Ngần
DT10019,Gia 1658 foods,TK110019,37124840,4509510019,1.3283436237921982,Âu Song Mây
DT10020,Chí 2817 foods,TK110020,19037619,7794410020,4.5915073932785075,Hồ Tùng Ngọc Nhi
