TX140000,44M4130000,187709140000,8103592,1000000,NV100000,KV16,TP BANK,303 276 140000,TK140000
TX140001,82M7130001,187709140001,9488209,1000000,NV100000,KV17,MSB,303 276 140001,TK140001
TX140002,79M3130002,187709140002,8850521,1000000,NV100001,KV18,EXIM BANK,303 276 140002,TK140002
TX140003,78M2130003,187709140003,8034650,1000000,NV100001,KV19,TP BANK,303 276 140003,TK140003
TX140004,61M4130004,187709140004,7603510,1000000,NV100002,KV20,SHB,303 276 140004,TK140004
TX140005,45M8130005,187709140005,4928202,1000000,NV100002,KV21,AGRIBANK,303 276 140005,TK140005
TX140006,39M3130006,187709140006,7401091,1000000,NV100003,KV22,MSB,303 276 140006,TK140006
TX140007,56M6130007,187709140007,9857152,1000000,NV100003,KV23,GDB,303 276 140007,TK140007
TX140008,44M3130008,187709140008,4762677,1000000,NV100004,KV24,EXIM BANK,303 276 140008,TK140008
TX140009,41M2130009,187709140009,3241460,1000000,NV100004,KV25,BIDV,303 276 140009,TK140009
TX140010,39M4130010,187709140010,1022120,1000000,NV100005,KV26,NAM A BANK,303 276 140010,TK140010
TX140011,66M2130011,187709140011,1606906,1000000,NV100005,KV27,ACB,303 276 140011,TK140011
TX140012,47M9130012,187709140012,8376029,1000000,NV100006,KV11,LPB,303 276 140012,TK140012
TX140013,53M2130013,187709140013,8211182,1000000,NV100006,KV12,TECHCOM BANK,303 276 140013,TK140013
TX140014,84M5130014,187709140014,6032306,1000000,NV100007,KV13,SEA BANK,303 276 140014,TK140014
TX140015,41M2130015,187709140015,8998446,1000000,NV100007,KV14,AGRIBANK,303 276 140015,TK140015
TX140016,38M4130016,187709140016,3374495,1000000,NV100008,KV15,OCB,303 276 140016,TK140016
TX140017,66M3130017,187709140017,6661530,1000000,NV100008,KV16,TP BANK,303 276 140017,TK140017
TX140018,88M3130018,187709140018,9240801,1000000,NV100009,KV17,NAM A BANK,303 276 140018,TK140018
TX140019,67M2130019,187709140019,3563107,1000000,NV100009,KV18,OCB,303 276 140019,TK140019
TX140020,53M9130020,187709140020,5814562,1000000,NV100010,KV19,OCEAN BANK,303 276 140020,TK140020
TX140021,37M4130021,187709140021,5738428,1000000,NV100010,KV20,OCEAN BANK,303 276 140021,TK140021
TX140022,32M9130022,187709140022,9319660,1000000,NV100011,KV21,VIB,303 276 140022,TK140022
TX140023,36M6130023,187709140023,5404801,1000000,NV100011,KV22,LPB,303 276 140023,TK140023
TX140024,32M8130024,187709140024,9121917,1000000,NV100012,KV23,MB BANK,303 276 140024,TK140024
TX140025,66M9130025,187709140025,8586891,1000000,NV100012,KV24,NAM A BANK,303 276 140025,TK140025
TX140026,88M2130026,187709140026,4654457,1000000,NV100013,KV25,Sacom BANK,303 276 140026,TK140026
TX140027,77M9130027,187709140027,6749926,1000000,NV100013,KV26,NAM A BANK,303 276 140027,TK140027
TX140028,77M7130028,187709140028,9416104,1000000,NV100014,KV27,GDB,303 276 140028,TK140028
TX140029,42M8130029,187709140029,9389631,1000000,NV100014,KV11,EXIM BANK,303 276 140029,TK140029
TX140030,90M8130030,187709140030,1249685,1000000,NV100015,KV12,TECHCOM BANK,303 276 140030,TK140030
TX140031,74M8130031,187709140031,5358867,1000000,NV100015,KV13,ACB,303 276 140031,TK140031
TX140032,33M4130032,187709140032,8591247,1000000,NV100016,KV14,MSB,303 276 140032,TK140032
TX140033,49M2130033,187709140033,6324878,1000000,NV100016,KV15,GDB,303 276 140033,TK140033
TX140034,46M6130034,187709140034,4959573,1000000,NV100017,KV16,VIETCOM BANK,303 276 140034,TK140034
TX140035,45M9130035,187709140035,7296168,1000000,NV100017,KV17,OCB,303 276 140035,TK140035
TX140036,85M3130036,187709140036,2094310,1000000,NV100018,KV18,AGRIBANK,303 276 140036,TK140036
TX140037,65M9130037,187709140037,8111081,1000000,NV100018,KV19,LPB,303 276 140037,TK140037
TX140038,82M5130038,187709140038,4198327,1000000,NV100019,KV20,AGRIBANK,303 276 140038,TK140038
TX140039,47M3130039,187709140039,6997142,1000000,NV100019,KV21,EXIM BANK,303 276 140039,TK140039
TX140040,57M5130040,187709140040,1781966,1000000,NV100020,KV22,TECHCOM BANK,303 276 140040,TK140040
TX140041,65M5130041,187709140041,5723226,1000000,NV100020,KV23,EXIM BANK,303 276 140041,TK140041
TX140042,69M2130042,187709140042,4616975,1000000,NV100021,KV24,OCB,303 276 140042,TK140042
TX140043,70M2130043,187709140043,7205093,1000000,NV100021,KV25,SEA BANK,303 276 140043,TK140043
TX140044,56M5130044,187709140044,9468242,1000000,NV100022,KV26,TP BANK,303 276 140044,TK140044
TX140045,83M9130045,187709140045,2228376,1000000,NV100022,KV27,SEA BANK,303 276 140045,TK140045
TX140046,46M4130046,187709140046,1011132,1000000,NV100023,KV11,MB BANK,303 276 140046,TK140046
TX140047,87M3130047,187709140047,4387686,1000000,NV100023,KV12,MB BANK,303 276 140047,TK140047
TX140048,53M8130048,187709140048,7084178,1000000,NV100024,KV13,LPB,303 276 140048,TK140048
TX140049,60M2130049,187709140049,6758248,1000000,NV100024,KV14,ACB,303 276 140049,TK140049
TX140050,48M1130050,187709140050,1532868,1000000,NV100025,KV15,TECHCOM BANK,303 276 140050,TK140050
TX140051,63M1130051,187709140051,3994408,1000000,NV100025,KV16,NAM A BANK,303 276 140051,TK140051
TX140052,54M9130052,187709140052,2795018,1000000,NV100026,KV17,OCEAN BANK,303 276 140052,TK140052
TX140053,83M1130053,187709140053,3436107,1000000,NV100026,KV18,NAM A BANK,303 276 140053,TK140053
TX140054,38M7130054,187709140054,1968313,1000000,NV100027,KV19,BIDV,303 276 140054,TK140054
TX140055,51M7130055,187709140055,1365011,1000000,NV100027,KV20,ACB,303 276 140055,TK140055
TX140056,31M5130056,187709140056,5932837,1000000,NV100028,KV21,SEA BANK,303 276 140056,TK140056
TX140057,78M1130057,187709140057,1414169,1000000,NV100028,KV22,SEA BANK,303 276 140057,TK140057
TX140058,50M5130058,187709140058,8078516,1000000,NV100029,KV23,OCEAN BANK,303 276 140058,TK140058
